"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"2319";"Banskobystrickı";"Luèenec";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium B.S.T.";"Halièská cesta 9";"Luèenec";"98403";"57,7889";"59,8985";;;;"26,0204";;;;;"29,9065";"58,0357";;;"59,8485";"39,3939";"42,4242";;;;;;;;;;;;;"10,9649";;;;
"2320";"Banskobystrickı";"Luèenec";"Samosprávny kraj";"Stredná pedagogická škola";"Slovenskı - maïarskı ";"Stredná odborná škola";"Ped.a soc.akadémia";"J.A.Komenského 12";"Luèenec";"98418";"65,25";;"55,8824";"88,2353";"56,3415";"86,0104";;"53,6364";;;;;;;"36,1386";"99,0099";"43,5115";;;;;;;;;;;;;"44,8747";;;;
"2321";"Banskobystrickı";"Luèenec";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"Zákl.škola pre SP";"Karola Supa 48";"Luèenec";"98403";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2322";"Banskobystrickı";"Luèenec";"Samosprávny kraj";"Stredná zdravotnícka škola";"Slovenskı";"Stredná odborná škola";"Stred. zdravot. škola";"Lúèna 2";"Luèenec";"98417";"37,5";;;;"48,7805";;;"45,9091";;;;;;;;;;;;;;;;;;;;;;"78,8155";;;;
"2323";"Banskobystrickı";"Luèenec";"Samosprávny kraj";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Obchodná akadémia";"Lúèna 4";"Luèenec";"98416";"53,25";;;;"90,7317";;;"94,5455";;;;;;;"95,0495";"94,5545";;;;;;;;;;;;;;"7,97266";;;;
"2324";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Námestie Kubínyiho 6";"Luèenec";"98401";;;;;;;;;;;"94,6958";"30,1847";;;"46,5704";"69,0253";"55,5235";;;;;;;;;;;;;"30,0431";;;;
"2325";"Banskobystrickı";"Luèenec";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Novohradská 2";"Luèenec";"98401";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"39,528";;;;
"2326";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Rúbanisko II 3079";"Luèenec";"98403";;;;;;;;;;;"19,8908";"37,1449";;;"68,3032";"83,0325";"73,935";;;;;;;;;;;;;"25,0599";;;;
"2327";"Banskobystrickı";"Luèenec";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Cirkevná základná škola";"T. G. Masaryka 9";"Luèenec";"98401";;;;;;;;;;;"4,52418";"4,33239";;;;;;;;;;;;;;;;;;"70,6756";;;;
"2328";"Banskobystrickı";"Luèenec";"Cirkev, cirkevné spoloèenstvo";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Cirk.zákl.umel.škola";"T. G. Masaryka 9";"Luèenec";"98401";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2329";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Ulica bratrícka 19";"Luèenec";"98401";;;;;;;;;;;;;;;"100";"100";"66,7148";;;;;;;;;;;;;"70,1965";;;;
"2330";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s MŠ";"Ulica J. Kármána 5";"Luèenec";"98401";;;;;;;;;;;;"21,3068";"26,1194";"71,6418";;;;;;;;;;;;;;;;"52,4197";;;;
"2331";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ulica Vajanského 47";"Luèenec";"98401";;;;;;;;;;;"65,2886";"31,6761";;;"45,1986";"91,6245";"59,639";;;;;;;;;;;;;"16,3392";;;;
"2332";"Banskobystrickı";"Luèenec";"Krajskı úrad, Okresnı úrad";"Praktická škola";"Slovenskı";"Špeciálna stredná škola";"Praktická škola";"Zvolenská cesta 59";"Luèenec";"98401";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3,1746";;;;
"2333";"Banskobystrickı";"Luèenec";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı - maïarskı ";"Špeciálna základná škola";"Špec.základná škola";"Zvolenská cesta 59";"Luèenec";"98401";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2334";"Banskobystrickı";"Luèenec";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı - maïarskı ";"Špeciálna základná škola";"Špec.základná škola";"Zvolenská cesta 59";"Luèenec";"98401";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2335";"Banskobystrickı";"Luèenec";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı - maïarskı ";"Špeciálna základná škola";"Špec.základná škola";"Zvolenská cesta 59";"Luèenec";"98401";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2336";"Banskobystrickı";"Luèenec";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı - maïarskı ";"Špeciálna základná škola";"Špec.základná škola";"Zvolenská cesta 59";"Luèenec";"98401";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2337";"Banskobystrickı";"Luèenec";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Zvolenská cesta 83";"Luèenec";"98401";"4,25";;;;"8,78049";;;"6,36364";;;;;;;;;;;;;;;;;;;;;;"66,287";;;;
"2338";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Lipová 229";"Muèín";"98531";;;;;;;;;;;;;;;"21,2996";"42,5271";"14,0072";;;;;;;;;;;;;"47,8198";;;;
"2339";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Mıtna 67";"Mıtna";"98553";;;;;;;;;;;;;;;"92,7798";"71,6968";"79,2058";;;;;;;;;;;;;"86,5836";;;;
"2340";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Nitra nad Ip¾om 96";"Nitra nad Ip¾om";"98557";;;;;;;;;;;;;;;"16,1011";"28,8087";"0,361011";;;;;;;;;;;;;"45,472";;;;
"2344";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Slovenskı - maïarskı ";"Základná škola";"Základná škola s MŠ";"Radzovce 418";"Radzovce";"98558";;;;;;;;;;;"10,6084";"13,7074";"28,3582";"52,2388";;;;;;;;;;;;;;;;"72,4485";;;;
"2345";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı - maïarskı ";"Základná škola";"Základná škola s VJM";"Hlavná 5";"Rapovce";"98531";;;;;;;;;;;;;;;"46,787";"49,0253";"4,11552";;;;;;;;;;;;;"87,7336";;;;
"2346";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 116";"Ruiná";"98552";;;;;;;;;;;;;;;"75,8845";"91,9856";"79,639";;;;;;;;;;;;;"62,5299";;;;
"2347";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola s VJM";"Šávo¾ 51";"Šávo¾";"98541";;;;;;;;;;;;;;;"61,8773";"87,4368";"54,5126";;;;;;;;;;;;;"40,2971";;;;
"2349";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola";"Šíd 241";"Šíd";"98601";;;;;;;;;;;;;;;"21,0108";"65,343";"14,5848";;;;;;;;;;;;;"32,7743";;;;
"2350";"Banskobystrickı";"Luèenec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 30";"Tomášovce";"98556";;;;;;;;;;;;;;;"92,7798";"71,6968";"82,0217";;;;;;;;;;;;;"80,8816";;;;
